Expected_Confidence,MCD_Observed_Confidence_Train,MCD_Observed_Confidence_Test,MCD_Observed_Confidence_OOD_EXP,MCD_Observed_Confidence_OOD_MD
0.0,0.0,0.0,0.0,0.0
0.01,0.003800904977375566,0.002894356005788712,0.0,0.0
0.02,0.007963800904977376,0.004341534008683068,0.0,0.0
0.03,0.011945701357466063,0.004341534008683068,0.0,0.0
0.04,0.015565610859728506,0.004341534008683068,0.0,0.0
0.05,0.02081447963800905,0.004341534008683068,0.0,0.0
0.06,0.025158371040723982,0.005788712011577424,0.0,0.0
0.07,0.03076923076923077,0.005788712011577424,0.0,0.0
0.08,0.03475113122171946,0.005788712011577424,0.0,0.0
0.09,0.03945701357466063,0.00723589001447178,0.0,0.0
0.1,0.0432579185520362,0.010130246020260492,0.004166666666666667,0.0
0.11,0.04850678733031674,0.010130246020260492,0.004166666666666667,0.0
0.12,0.052307692307692305,0.010130246020260492,0.004166666666666667,0.0
0.13,0.056108597285067875,0.010130246020260492,0.004166666666666667,0.0
0.14,0.059366515837104075,0.010130246020260492,0.004166666666666667,0.0
0.15,0.06371040723981901,0.013024602026049204,0.004166666666666667,0.0
0.16,0.06787330316742081,0.01447178002894356,0.004166666666666667,0.0017667844522968198
0.17,0.07420814479638009,0.01881331403762663,0.004166666666666667,0.0017667844522968198
0.18,0.07692307692307693,0.023154848046309694,0.004166666666666667,0.0017667844522968198
0.19,0.08108597285067873,0.024602026049204053,0.008333333333333333,0.0017667844522968198
0.2,0.08615384615384615,0.024602026049204053,0.008333333333333333,0.0017667844522968198
0.21,0.09104072398190045,0.02604920405209841,0.008333333333333333,0.0017667844522968198
0.22,0.09429864253393665,0.027496382054992764,0.008333333333333333,0.0017667844522968198
0.23,0.0988235294117647,0.027496382054992764,0.008333333333333333,0.0035335689045936395
0.24,0.10407239819004525,0.027496382054992764,0.008333333333333333,0.00530035335689046
0.25,0.10986425339366516,0.02894356005788712,0.008333333333333333,0.00530035335689046
0.26,0.11529411764705882,0.030390738060781478,0.008333333333333333,0.007067137809187279
0.27,0.1183710407239819,0.03328509406657019,0.0125,0.007067137809187279
0.28,0.1232579185520362,0.0361794500723589,0.0125,0.007067137809187279
0.29,0.12687782805429865,0.0361794500723589,0.0125,0.0088339222614841
0.3,0.1306787330316742,0.03762662807525326,0.0125,0.0088339222614841
0.31,0.1371945701357466,0.03762662807525326,0.0125,0.0088339222614841
0.32,0.14153846153846153,0.03762662807525326,0.0125,0.0088339222614841
0.33,0.14642533936651583,0.03907380607814761,0.0125,0.0088339222614841
0.34,0.151131221719457,0.03907380607814761,0.016666666666666666,0.0088339222614841
0.35000000000000003,0.15475113122171946,0.041968162083936326,0.016666666666666666,0.0088339222614841
0.36,0.16,0.04341534008683068,0.020833333333333332,0.0088339222614841
0.37,0.16524886877828054,0.04486251808972504,0.020833333333333332,0.0088339222614841
0.38,0.17031674208144795,0.04486251808972504,0.020833333333333332,0.0088339222614841
0.39,0.1755656108597285,0.049204052098408106,0.020833333333333332,0.0088339222614841
0.4,0.1811764705882353,0.05065123010130246,0.020833333333333332,0.0088339222614841
0.41000000000000003,0.1860633484162896,0.05065123010130246,0.020833333333333332,0.0088339222614841
0.42,0.18986425339366517,0.05209840810419682,0.020833333333333332,0.0088339222614841
0.43,0.19384615384615383,0.053545586107091175,0.025,0.0088339222614841
0.44,0.19945701357466064,0.056439942112879886,0.029166666666666667,0.0088339222614841
0.45,0.2041628959276018,0.056439942112879886,0.03333333333333333,0.012367491166077738
0.46,0.20959276018099549,0.059334298118668596,0.0375,0.012367491166077738
0.47000000000000003,0.2146606334841629,0.060781476121562955,0.0375,0.012367491166077738
0.48,0.2195475113122172,0.060781476121562955,0.0375,0.012367491166077738
0.49,0.22515837104072398,0.06222865412445731,0.0375,0.012367491166077738
0.5,0.23058823529411765,0.06222865412445731,0.0375,0.012367491166077738
0.51,0.23692307692307693,0.06367583212735166,0.0375,0.012367491166077738
0.52,0.24289592760180995,0.06657018813314038,0.0375,0.012367491166077738
0.53,0.25031674208144794,0.06657018813314038,0.041666666666666664,0.012367491166077738
0.54,0.25484162895927603,0.06801736613603473,0.041666666666666664,0.012367491166077738
0.55,0.2593665158371041,0.07091172214182344,0.041666666666666664,0.014134275618374558
0.56,0.265158371040724,0.07091172214182344,0.041666666666666664,0.014134275618374558
0.5700000000000001,0.27076923076923076,0.07091172214182344,0.041666666666666664,0.014134275618374558
0.58,0.2774660633484163,0.07380607814761216,0.05416666666666667,0.015901060070671377
0.59,0.28452488687782806,0.07380607814761216,0.05416666666666667,0.0176678445229682
0.6,0.29013574660633484,0.07525325615050651,0.05416666666666667,0.0176678445229682
0.61,0.29592760180995475,0.07814761215629522,0.058333333333333334,0.019434628975265017
0.62,0.3035294117647059,0.07814761215629522,0.058333333333333334,0.02120141342756184
0.63,0.3062443438914027,0.0824891461649783,0.0625,0.02120141342756184
0.64,0.3129411764705882,0.08393632416787265,0.0625,0.02120141342756184
0.65,0.3183710407239819,0.085383502170767,0.06666666666666667,0.02120141342756184
0.66,0.32361990950226244,0.08683068017366136,0.06666666666666667,0.02120141342756184
0.67,0.3290497737556561,0.08827785817655572,0.06666666666666667,0.02120141342756184
0.68,0.3344796380090498,0.08827785817655572,0.06666666666666667,0.02120141342756184
0.6900000000000001,0.3406334841628959,0.09117221418234443,0.06666666666666667,0.02120141342756184
0.7000000000000001,0.3460633484162896,0.09261939218523878,0.06666666666666667,0.022968197879858657
0.71,0.35203619909502265,0.09261939218523878,0.06666666666666667,0.022968197879858657
0.72,0.35800904977375564,0.0955137481910275,0.06666666666666667,0.024734982332155476
0.73,0.3645248868778281,0.09696092619392185,0.06666666666666667,0.024734982332155476
0.74,0.3699547511312217,0.09840810419681621,0.06666666666666667,0.024734982332155476
0.75,0.3786425339366516,0.10130246020260492,0.06666666666666667,0.024734982332155476
0.76,0.3884162895927602,0.10130246020260492,0.06666666666666667,0.024734982332155476
0.77,0.3951131221719457,0.10419681620839363,0.06666666666666667,0.026501766784452298
0.78,0.40217194570135745,0.10998552821997105,0.07083333333333333,0.026501766784452298
0.79,0.4112217194570136,0.11143270622286541,0.07083333333333333,0.026501766784452298
0.8,0.4188235294117647,0.11432706222865413,0.07083333333333333,0.028268551236749116
0.81,0.42823529411764705,0.11432706222865413,0.07083333333333333,0.028268551236749116
0.8200000000000001,0.4365610859728507,0.11722141823444283,0.075,0.03180212014134275
0.8300000000000001,0.4456108597285068,0.11722141823444283,0.07916666666666666,0.03356890459363958
0.84,0.4532126696832579,0.12156295224312591,0.07916666666666666,0.03356890459363958
0.85,0.4620814479638009,0.12590448625180897,0.07916666666666666,0.03356890459363958
0.86,0.4722171945701357,0.1316931982633864,0.07916666666666666,0.03356890459363958
0.87,0.4818099547511312,0.13603473227206947,0.07916666666666666,0.03356890459363958
0.88,0.4928506787330317,0.13748191027496381,0.07916666666666666,0.03356890459363958
0.89,0.5031674208144796,0.1389290882778582,0.0875,0.03356890459363958
0.9,0.5131221719457013,0.14037626628075253,0.09166666666666666,0.03356890459363958
0.91,0.5236199095022624,0.1476121562952243,0.1,0.03356890459363958
0.92,0.5359276018099548,0.15050651230101303,0.10416666666666667,0.0353356890459364
0.93,0.5491402714932127,0.1577424023154848,0.10416666666666667,0.04063604240282685
0.9400000000000001,0.5656108597285068,0.16208393632416787,0.10416666666666667,0.044169611307420496
0.9500000000000001,0.5882352941176471,0.16931982633863965,0.11666666666666667,0.044169611307420496
0.96,0.6079638009049774,0.17800289435600578,0.125,0.045936395759717315
0.97,0.6313122171945701,0.1837916063675832,0.125,0.04770318021201413
0.98,0.6599095022624435,0.1939218523878437,0.12916666666666668,0.04946996466431095
0.99,0.7046153846153846,0.20694645441389292,0.12916666666666668,0.053003533568904596
1.0,0.9996380090497737,1.0,1.0,0.9982332155477032
